title	subtitle	id	networkName	networkId	color	textColor	latitude	longitude	type	location	bike_count	electric_bike_count	dock_count
Electric bike		81b5ff23-70f5-49bd-aae4-66e645126aa8	Lime Bike	611	14D200	FFFFFF	38.9043690	-77.0284440	electric-bike	Washington, DC	0	0	0
Electric bike		91b49900-e41a-4907-b2f8-7eeedc38a62a	Lime Bike	611	14D200	FFFFFF	38.9042070	-77.0289710	electric-bike	Washington, DC	0	0	0
Electric bike		7fc0974f-fcb7-48f8-990c-ad6ecd22b5b5	Lime Bike	611	14D200	FFFFFF	38.9045430	-77.0290540	electric-bike	Washington, DC	0	0	0
Electric bike		30f895bc-210e-491f-9cb3-600f6ccd825b	Lime Bike	611	14D200	FFFFFF	38.9049540	-77.0296290	electric-bike	Washington, DC	0	0	0
Electric bike		de5c3375-6432-429b-96c7-a36e8823fa7b	Lime Bike	611	14D200	FFFFFF	38.9057140	-77.0307020	electric-bike	Washington, DC	0	0	0
Electric bike		1e9cadd0-f4f1-4bf9-ab02-d6da270853fb	Lime Bike	611	14D200	FFFFFF	38.9042990	-77.0318050	electric-bike	Washington, DC	0	0	0
Electric bike		365237f7-f75c-4354-a763-2a75ecd112ba	Lime Bike	611	14D200	FFFFFF	38.9038280	-77.0318850	electric-bike	Washington, DC	0	0	0
Electric bike		10306fdd-7434-4224-9921-613603604b07	Lime Bike	611	14D200	FFFFFF	38.9046890	-77.0347030	electric-bike	Washington, DC	0	0	0
Electric bike		ccb4d7ab-d991-4138-9659-643a557c92c2	Lime Bike	611	14D200	FFFFFF	38.9047650	-77.0355590	electric-bike	Washington, DC	0	0	0
Electric bike		53317c78-7ccb-4852-bf57-ed9730f2dfbd	Lime Bike	611	14D200	FFFFFF	38.9042570	-77.0366550	electric-bike	Washington, DC	0	0	0
Electric bike		e93dae52-7f9a-42b6-b571-dbfa20a811b8	Lime Bike	611	14D200	FFFFFF	38.9058290	-77.0383350	electric-bike	Washington, DC	0	0	0
Electric bike		e79144bf-48d6-4566-9e04-130a47edc869	Lime Bike	611	14D200	FFFFFF	38.9047310	-77.0383440	electric-bike	Washington, DC	0	0	0
Electric bike		391f18f0-23ec-4945-8c4e-1182ebd2995b	Lime Bike	611	14D200	FFFFFF	38.9058610	-77.0385340	electric-bike	Washington, DC	0	0	0
Electric bike		2f7cd6c9-2ec6-46c2-97e0-c53ed4ef24e4	Lime Bike	611	14D200	FFFFFF	38.9047990	-77.0385570	electric-bike	Washington, DC	0	0	0
Electric bike		e3c1908e-3e34-4514-8a9a-3a0ddd02641e	Lime Bike	611	14D200	FFFFFF	38.9047410	-77.0386220	electric-bike	Washington, DC	0	0	0
Electric bike		b5b582f1-6b90-4ecc-9e05-ce0d488dcfb3	Lime Bike	611	14D200	FFFFFF	38.9038330	-77.0399640	electric-bike	Washington, DC	0	0	0
Electric bike		51d8fb80-f87a-465f-b2be-c4db078e7b54	Lime Bike	611	14D200	FFFFFF	38.9057940	-77.0407630	electric-bike	Washington, DC	0	0	0
Electric bike		90f09363-6efb-48a7-99af-8e453d50b2d3	Lime Bike	611	14D200	FFFFFF	38.9039380	-77.0408100	electric-bike	Washington, DC	0	0	0
Electric bike		f5af58d7-1e15-445f-82c8-3513c799d5f8	Lime Bike	611	14D200	FFFFFF	38.9038900	-77.0409240	electric-bike	Washington, DC	0	0	0
Electric bike		ac9749ef-1486-4f33-914c-abe2f74520fb	Lime Bike	611	14D200	FFFFFF	38.9053040	-77.0409730	electric-bike	Washington, DC	0	0	0
Electric bike		b86c0366-2760-434a-91c2-04a17a5acaec	Lime Bike	611	14D200	FFFFFF	38.9050680	-77.0433170	electric-bike	Washington, DC	0	0	0
Electric bike		10dbc7d4-a664-4f15-ad1b-e5cbbf9915a0	Lime Bike	611	14D200	FFFFFF	38.9044480	-77.0434040	electric-bike	Washington, DC	0	0	0
Electric bike		5bfe3d7f-5d83-41f4-a52a-de81eded9848	Lime Bike	611	14D200	FFFFFF	38.9046870	-77.0434360	electric-bike	Washington, DC	0	0	0
Electric bike		ea2d0d4f-fb53-475d-8827-3e7390b6b379	Lime Bike	611	14D200	FFFFFF	38.9057740	-77.0440350	electric-bike	Washington, DC	0	0	0
Electric bike		3f1fc945-a738-4f95-89a9-d5a0f322efe1	Lime Bike	611	14D200	FFFFFF	38.9056330	-77.0457240	electric-bike	Washington, DC	0	0	0
Electric bike		649ae1f4-bedd-49c3-9900-f0b2201c03a5	Lime Bike	611	14D200	FFFFFF	38.9039610	-77.0466810	electric-bike	Washington, DC	0	0	0
Electric bike		3e28f6fc-8438-4260-a207-9adea387fa4d	Lime Bike	611	14D200	FFFFFF	38.9119650	-77.0320320	electric-bike	Washington, DC	0	0	0
Electric bike		bb8ec2d0-f044-4c9f-8a2a-33a82a4de7da	Lime Bike	611	14D200	FFFFFF	38.9012540	-77.0381120	electric-bike	Washington, DC	0	0	0
Electric bike		207eea79-0d87-4460-a5dc-5c04e1d1255c	Lime Bike	611	14D200	FFFFFF	38.9013650	-77.0383650	electric-bike	Washington, DC	0	0	0
Electric bike		484c3263-00a8-4ce7-a4d3-e9659f3491ba	Lime Bike	611	14D200	FFFFFF	38.9089350	-77.0386450	electric-bike	Washington, DC	0	0	0
Electric bike		04c993db-1c9b-4adf-aedc-ffc77b0892ab	Lime Bike	611	14D200	FFFFFF	38.9022920	-77.0393470	electric-bike	Washington, DC	0	0	0
Electric bike		f5632f8a-25da-43cd-80fd-e810b170d0ef	Lime Bike	611	14D200	FFFFFF	38.9009070	-77.0394280	electric-bike	Washington, DC	0	0	0
Electric bike		8259acbb-4a7b-449e-98fc-7efd2ef613a0	Lime Bike	611	14D200	FFFFFF	38.9096060	-77.0405580	electric-bike	Washington, DC	0	0	0
Electric bike		427ac443-b8d0-4772-8507-0bccbeb1e604	Lime Bike	611	14D200	FFFFFF	38.9149270	-77.0416840	electric-bike	Washington, DC	0	0	0
Electric bike		2f542abb-0f5e-4fd6-b04d-9ffa58e5155a	Lime Bike	611	14D200	FFFFFF	38.9096520	-77.0424750	electric-bike	Washington, DC	0	0	0
Electric bike		ec25305e-b3c6-4b76-8e06-86f8c19598b4	Lime Bike	611	14D200	FFFFFF	38.9013350	-77.0434770	electric-bike	Washington, DC	0	0	0
Electric bike		2133f3cb-f9cc-4ce8-82eb-ef68e4e3b9a0	Lime Bike	611	14D200	FFFFFF	38.9058400	-77.0435340	electric-bike	Washington, DC	0	0	0
Electric bike		ded0ae17-7843-4e5a-a8f2-9b9d1c5f2465	Lime Bike	611	14D200	FFFFFF	38.9126080	-77.0441170	electric-bike	Washington, DC	0	0	0
Electric bike		e65bae4d-9124-437b-b9a6-59bb40a6b354	Lime Bike	611	14D200	FFFFFF	38.9014050	-77.0366940	electric-bike	Washington, DC	0	0	0
Electric bike		64f4fe55-93eb-4ec8-8a07-a8b40accb03c	Lime Bike	611	14D200	FFFFFF	38.9095460	-77.0280900	electric-bike	Washington, DC	0	0	0
Electric bike		974f671b-932d-44a6-a764-6ad8abb6ff82	Lime Bike	611	14D200	FFFFFF	38.9092660	-77.0305980	electric-bike	Washington, DC	0	0	0
Electric bike		bbab0a94-3c4a-4df0-b8d1-5f8d96a21a10	Lime Bike	611	14D200	FFFFFF	38.9117720	-77.0320030	electric-bike	Washington, DC	0	0	0
